Variable,Overall Missing n (%),Overall Observed n (%),In-hospital survival Missing n (%),In-hospital survival Observed n (%),In-hospital death Missing n (%),In-hospital death Observed n (%),Difference in missingness (pp)
AST,2275 (56.9%),1725 (43.1%),2050 (59.5%),1396 (40.5%),225 (40.6%),329 (59.4%),-18.9
ALT,2279 (57.0%),1721 (43.0%),2053 (59.6%),1393 (40.4%),226 (40.8%),328 (59.2%),-18.8
Bilirubin,2282 (57.0%),1718 (43.0%),2055 (59.6%),1391 (40.4%),227 (41.0%),327 (59.0%),-18.7
ALP,2310 (57.8%),1690 (42.2%),2078 (60.3%),1368 (39.7%),232 (41.9%),322 (58.1%),-18.4
Lactate,1817 (45.4%),2183 (54.6%),1648 (47.8%),1798 (52.2%),169 (30.5%),385 (69.5%),-17.3
Albumin,2385 (59.6%),1615 (40.4%),2134 (61.9%),1312 (38.1%),251 (45.3%),303 (54.7%),-16.6
FiO2,1283 (32.1%),2717 (67.9%),1173 (34.0%),2273 (66.0%),110 (19.9%),444 (80.1%),-14.2
RespRate,2899 (72.5%),1101 (27.5%),2432 (70.6%),1014 (29.4%),467 (84.3%),87 (15.7%),13.7
TroponinT,3137 (78.4%),863 (21.6%),2765 (80.2%),681 (19.8%),372 (67.1%),182 (32.9%),-13.1
PaCO2,977 (24.4%),3023 (75.6%),897 (26.0%),2549 (74.0%),80 (14.4%),474 (85.6%),-11.6
PaO2,977 (24.4%),3023 (75.6%),896 (26.0%),2550 (74.0%),81 (14.6%),473 (85.4%),-11.4
pH,960 (24.0%),3040 (76.0%),880 (25.5%),2566 (74.5%),80 (14.4%),474 (85.6%),-11.1
MechVent,1471 (36.8%),2529 (63.2%),1312 (38.1%),2134 (61.9%),159 (28.7%),395 (71.3%),-9.4
Height,1894 (47.3%),2106 (52.6%),1601 (46.5%),1845 (53.5%),293 (52.9%),261 (47.1%),6.4
TroponinI,3795 (94.9%),205 (5.1%),3298 (95.7%),148 (4.3%),497 (89.7%),57 (10.3%),-6.0
DiasABP,1201 (30.0%),2799 (70.0%),1056 (30.6%),2390 (69.4%),145 (26.2%),409 (73.8%),-4.5
SysABP,1201 (30.0%),2799 (70.0%),1056 (30.6%),2390 (69.4%),145 (26.2%),409 (73.8%),-4.5
MAP,1208 (30.2%),2792 (69.8%),1060 (30.8%),2386 (69.2%),148 (26.7%),406 (73.3%),-4.0
SaO2,2208 (55.2%),1792 (44.8%),1919 (55.7%),1527 (44.3%),289 (52.2%),265 (47.8%),-3.5
Weight,296 (7.4%),3704 (92.6%),271 (7.9%),3175 (92.1%),25 (4.5%),529 (95.5%),-3.4
Glucose,113 (2.8%),3887 (97.2%),106 (3.1%),3340 (96.9%),7 (1.3%),547 (98.7%),-1.8
Mg,103 (2.6%),3897 (97.4%),96 (2.8%),3350 (97.2%),7 (1.3%),547 (98.7%),-1.5
WBC,73 (1.8%),3927 (98.2%),69 (2.0%),3377 (98.0%),4 (0.7%),550 (99.3%),-1.3
K,96 (2.4%),3904 (97.6%),89 (2.6%),3357 (97.4%),7 (1.3%),547 (98.7%),-1.3
HCO3,76 (1.9%),3924 (98.1%),71 (2.1%),3375 (97.9%),5 (0.9%),549 (99.1%),-1.2
Platelets,68 (1.7%),3932 (98.3%),64 (1.9%),3382 (98.1%),4 (0.7%),550 (99.3%),-1.1
NIDiasABP,517 (12.9%),3483 (87.1%),450 (13.1%),2996 (86.9%),67 (12.1%),487 (87.9%),-1.0
BUN,64 (1.6%),3936 (98.4%),60 (1.7%),3386 (98.3%),4 (0.7%),550 (99.3%),-1.0
Creatinine,64 (1.6%),3936 (98.4%),60 (1.7%),3386 (98.3%),4 (0.7%),550 (99.3%),-1.0
HCT,64 (1.6%),3936 (98.4%),60 (1.7%),3386 (98.3%),4 (0.7%),550 (99.3%),-1.0
NIMAP,519 (13.0%),3481 (87.0%),452 (13.1%),2994 (86.9%),67 (12.1%),487 (87.9%),-1.0
NISysABP,507 (12.7%),3493 (87.3%),441 (12.8%),3005 (87.2%),66 (11.9%),488 (88.1%),-0.9
Na,75 (1.9%),3925 (98.1%),69 (2.0%),3377 (98.0%),6 (1.1%),548 (98.9%),-0.9
Temp,64 (1.6%),3936 (98.4%),59 (1.7%),3387 (98.3%),5 (0.9%),549 (99.1%),-0.8
Cholesterol,3695 (92.4%),305 (7.6%),3187 (92.5%),259 (7.5%),508 (91.7%),46 (8.3%),-0.8
HR,63 (1.6%),3937 (98.4%),58 (1.7%),3388 (98.3%),5 (0.9%),549 (99.1%),-0.8
GCS,64 (1.6%),3936 (98.4%),59 (1.7%),3387 (98.3%),5 (0.9%),549 (99.1%),-0.8
Urine,117 (2.9%),3883 (97.1%),100 (2.9%),3346 (97.1%),17 (3.1%),537 (96.9%),0.2
Gender,3 (0.1%),3997 (99.9%),2 (0.1%),3444 (99.9%),1 (0.2%),553 (99.8%),0.1
Age,0 (0.0%),4000 (100.0%),0 (0.0%),3446 (100.0%),0 (0.0%),554 (100.0%),0.0
ICUType,0 (0.0%),4000 (100.0%),0 (0.0%),3446 (100.0%),0 (0.0%),554 (100.0%),0.0
