Characteristic,Overall,In-hospital survival,In-hospital death
N,4000,3446,554
"Age, years, mean (SD)",64.2 (17.6),63.3 (17.6),70.0 (16.1)
"    Missing, n (%)",0 (0.0%),0 (0.0%),0 (0.0%)
"Gender, n (%)",,,
    Female,1751 (43.8%),1498 (43.5%),253 (45.7%)
    Male,2246 (56.1%),1946 (56.5%),300 (54.2%)
    Missing,3 (0.1%),2 (0.1%),1 (0.2%)
"Height, cm, mean (SD)",169.8 (20.2),169.9 (21.1),168.7 (11.4)
"    Missing, n (%)",1894 (47.3%),1601 (46.5%),293 (52.9%)
"Weight, kg, mean (SD)",81.5 (23.6),82.0 (23.6),78.5 (23.6)
"    Missing, n (%)",326 (8.2%),298 (8.6%),28 (5.1%)
"ICU type, n (%)",,,
    Coronary Care Unit,577 (14.4%),496 (14.4%),81 (14.6%)
    Cardiac Surgery Recovery Unit,874 (21.9%),831 (24.1%),43 (7.8%)
    Medical ICU,1481 (37.0%),1206 (35.0%),275 (49.6%)
    Surgical ICU,1068 (26.7%),913 (26.5%),155 (28.0%)
    Missing,0 (0.0%),0 (0.0%),0 (0.0%)
